[17:44:34] [INFO] received Windows console close event; shutting log-core down
[17:46:29] [INFO] received Windows console close event; shutting log-core down
[17:47:13] [INFO] received Windows console close event; shutting log-core down
[17:49:50] [INFO] received Windows console close event; shutting log-core down
[17:50:20] [INFO] received Windows console close event; shutting log-core down
[17:51:43] [INFO] received Windows console close event; shutting log-core down
[18:13:24] [INFO] received Windows console close event; shutting log-core down
[18:15:56] [INFO] received Windows console close event; shutting log-core down
[18:19:08] [INFO] received Windows console close event; shutting log-core down
[18:21:15] [INFO] received Windows console close event; shutting log-core down
[18:21:47] [INFO] received Windows console close event; shutting log-core down
[18:23:25] [INFO] received Windows console close event; shutting log-core down
[18:24:55] [INFO] received Windows console close event; shutting log-core down
[18:26:40] [INFO] received Windows console close event; shutting log-core down
[18:27:22] [INFO] received Windows console close event; shutting log-core down
[18:27:53] [INFO] received Windows console close event; shutting log-core down
[18:42:33] [INFO] received Windows console close event; shutting log-core down
[19:09:11] [INFO] received Windows console close event; shutting log-core down
[19:15:39] [INFO] received Windows console close event; shutting log-core down
[19:24:20] [INFO] received Windows console close event; shutting log-core down
[19:26:38] [INFO] received Windows console close event; shutting log-core down
[19:27:51] [INFO] received Windows console close event; shutting log-core down
[19:40:33] [INFO] received Windows console close event; shutting log-core down
[20:24:26] [INFO] received Windows console close event; shutting log-core down
[21:24:23] [INFO] received Windows console close event; shutting log-core down
[21:25:55] [INFO] received Windows console close event; shutting log-core down
[21:28:01] [INFO] received Windows console close event; shutting log-core down
[21:30:09] [INFO] received Windows console close event; shutting log-core down
[21:30:55] [INFO] received Windows console close event; shutting log-core down
[21:33:22] [INFO] received Windows console close event; shutting log-core down
[21:42:25] [INFO] received Windows console close event; shutting log-core down
[21:43:09] [INFO] received Windows console close event; shutting log-core down
[22:00:16] [INFO] received Windows console close event; shutting log-core down
[22:14:07] [INFO] received Windows console close event; shutting log-core down
[22:22:12] [INFO] received Windows console close event; shutting log-core down
[22:31:06] [INFO] received Windows console close event; shutting log-core down
[22:33:03] [INFO] received Windows console close event; shutting log-core down
[22:35:00] [INFO] received Windows console close event; shutting log-core down
[22:37:03] [INFO] received Windows console close event; shutting log-core down
[22:39:59] [INFO] received Windows console close event; shutting log-core down
[22:42:27] [INFO] received Windows console close event; shutting log-core down
[22:44:55] [INFO] received Windows console close event; shutting log-core down
[22:46:38] [INFO] received Windows console close event; shutting log-core down
[22:48:41] [INFO] received Windows console close event; shutting log-core down
[22:51:27] [INFO] received Windows console close event; shutting log-core down
[22:54:04] [INFO] received Windows console close event; shutting log-core down
[23:00:04] [INFO] received Windows console close event; shutting log-core down
[23:00:05] [INFO] received Windows console close event; shutting log-core down
